Year,Concessioner Lodgers,Concessioner Campers,Tent Campers,RV Campers,Backcountry Campers,Miscellaneous Campers
1979,537607,102910,219297,358266,46142,10199
1980,577171,93088,198216,317349,24010,10112
1981,571538,110076,244894,391437,55060,12583
1982,574214,98835,233395,349319,50491,10469
1983,569639,103443,200384,366594,43738,8584
1984,600030,111194,228915,301056,33049,10730
1985,601849,106295,194775,327086,32643,7744
1986,598164,108789,200490,359962,31627,9275
1987,624144,111926,244825,376512,32928,7237
1988,526690,105887,176677,269773,25155,4814
1989,611508,87304,204756,346283,32986,9198
1990,640603,102101,216000,336026,37138,13276
1991,638242,112397,257824,312592,41476,13918
1992,643405,116706,262206,317288,42124,10484
1993,592563,49363,279697,279096,45070,13440
1994,569747,83609,280066,292277,45460,12221
1995,567415,471154,88893,64937,45934,12214
1996,550768,463553,70866,47613,45769,9151
1997,563982,451887,84698,64337,44819,11607
1998,569935,477211,84103,60724,45614,13257
1999,581761,461826,76803,65033,41319,11777
2000,572069,422971,75505,62856,39297,18663
2001,584929,461787,76297,63635,43111,14690
2002,585859,501578,75974,62670,43682,15178
2003,559775,478854,82134,69722,46087,14592
2004,560385,458690,71271,65852,38270,12948
2005,526462,484130,69452,64136,33974,11519
2006,541897,415306,70963,62487,37276,13235
2007,555290,536112,77754,66632,38040,13817
2008,570623,434117,78035,57879,39603,13930
2009,564911,509377,83465,64637,39736,13521
2010,575313,512665,87580,69825,45045,15890
2011,591101,498037,79585,60168,37292,14795
2012,612163,532127,89249,64463,40460,11774
2013,595841,532895,88762,63897,40623,11537
2014,560372,539461,86281,77383,41243,8519
2015,552940,584979,104149,69830,44898,11715
2016,579227,583068,101639,68991,44663,10986
2017,613218,611098,96293,69723,43378,14270
2018,632913,616089,88562,74771,41978,11815
2019,653635,474653,81022,80294,38236,9907
2020,148443,402775,19731,23290,39364,2491
2021,412922,442716,52511,59365,43355,3323
