Year,Month,Receation Visitiors,Non-Recreation Visitors,RecreationHours,NonRecreationHours,Tent Campers,RV Campers,TotalOvernightStays
1979,January,"23,605",479,"188,840","3,832",15,39,"3,505"
1979,February,"31,992",36,"255,936",288,246,252,"6,007"
1979,March,"17,813",0,"142,504",0,342,513,"4,396"
1979,April,"34,095",426,"272,760","3,408","1,008","1,527","3,000"
1979,May,"108,952",473,"871,616","3,784","8,328","10,365","43,373"
1979,June,"313,924",225,"9,888,606","1,800","37,407","64,563","236,511"
1979,July,"493,902",191,"15,557,913","1,528","66,549","116,991","399,552"
1979,August,"493,915",141,"15,558,323","1,128","69,045","105,654","394,134"
1979,September,"262,786",153,"8,277,759","1,224","29,268","47,136","153,138"
1979,October,"76,542",77,"612,336",616,"6,753","10,848","27,525"
1979,November,"12,698",23,"101,584",184,201,228,543
1979,December,"22,684",37,"181,472",296,135,150,"2,737"
1980,January,"24,757",94,"198,056",752,51,96,"3,951"
1980,February,"36,373",149,"290,984","1,192",57,42,"5,885"
1980,March,"28,112",124,"224,896",992,315,186,"3,923"
1980,April,"32,466",323,"259,728","2,584",858,912,"3,235"
1980,May,"101,988",224,"815,904","1,792","6,849","10,113","40,348"
1980,June,"325,211","1,151","11,772,638","9,208","37,806","64,731","239,654"
1980,July,"557,810","4,599","20,192,722","36,792","62,949","107,787","404,727"
1980,August,"523,549","4,856","18,952,474","38,848","61,443","90,015","364,461"
1980,September,"229,396","3,627","4,243,826","29,016","23,268","34,791","127,319"
1980,October,"93,240","2,153","1,724,940","17,224","4,317","8,028","22,659"
1980,November,"25,773",433,"476,801","3,464",183,495,752
1980,December,"21,594",846,"399,489","6,768",120,153,"3,032"
1981,January,"24,924",633,"461,094","2,532",99,131,"4,324"
1981,February,"28,590",541,"528,915","2,164",74,83,"5,885"
1981,March,"19,305",700,"357,143","2,800",250,189,"4,074"
1981,April,"21,342",821,"394,827","3,284",537,483,"1,310"
1981,May,"158,762","2,567","2,937,097","10,268","9,050","13,632","44,018"
1981,June,"421,817","4,333","15,269,775","17,332","47,257","77,356","274,182"
1981,July,"701,758","5,975","25,403,639","23,900","75,056","132,393","456,098"
1981,August,"651,977","5,120","23,601,567","20,480","72,262","111,514","406,831"
1981,September,"346,906","3,554","6,417,761","14,216","32,582","50,652","161,145"
1981,October,"91,385","1,814","1,690,623","7,256","7,222","4,291","22,785"
1981,November,"30,202",676,"558,737","2,704",477,598,"1,448"
1981,December,"24,863",742,"459,965","2,968",28,115,"3,488"
1982,January,"22,523",790,"416,676","3,160",29,38,"5,267"
1982,February,"32,204",969,"595,774","3,876",112,83,"6,149"
1982,March,"25,325",957,"468,513","3,828",246,189,"4,121"
1982,April,"28,584","1,548","528,804","6,192",410,384,"2,798"
1982,May,"148,257","2,854","2,742,755","11,416","5,443","9,661","34,753"
1982,June,"413,052","5,776","17,306,878","23,104","32,298","59,395","238,211"
1982,July,"688,061","5,896","28,829,756","23,584","69,834","134,586","448,139"
1982,August,"626,834","6,019","26,264,345","24,076","79,437","113,238","412,919"
1982,September,"281,287","6,145","5,203,810","24,580","43,878","28,048","146,506"
1982,October,"74,181","2,778","1,372,349","11,112","1,584","3,590","13,395"
1982,November,"16,673","1,213","308,451","4,852",86,55,697
1982,December,"11,916","1,020","220,446","4,080",38,52,"3,768"
1983,January,"18,329","1,684","339,087","6,736",35,42,"6,014"
1983,February,"25,647","1,783","474,470","7,132",42,32,"7,399"
1983,March,"15,671","2,254","289,914","9,016",138,86,"4,287"
1983,April,"17,935","1,447","331,798","5,788",317,310,875
1983,May,"123,437","4,308","2,283,585","17,232","5,894","9,923","34,465"
1983,June,"396,890","9,969","16,629,691","39,876","36,355","70,285","253,771"
1983,July,"704,745","10,376","29,528,816","41,504","62,074","126,726","428,914"
1983,August,"604,247","10,783","25,317,949","43,132","64,291","108,915","388,865"
1983,September,"314,919","8,141","5,826,002","32,564","27,667","44,672","144,927"
1983,October,"103,385","5,892","1,912,623","23,568","3,533","5,459","20,408"
1983,November,"11,955",839,"221,168","3,356",32,125,502
1983,December,"10,082",935,"186,517","3,740",6,19,"1,955"
1984,January,"18,864","1,521","367,484","6,084",10,16,"6,324"
1984,February,"30,067","1,333","556,240","5,332",45,48,"8,578"
1984,March,"11,372",770,"210,382","3,080",310,80,"3,444"
1984,April,"18,303",304,"338,606","1,216",227,301,752
1984,May,"127,555","3,802","2,359,767","15,208","5,107","9,223","35,022"
1984,June,"379,837","6,964","15,915,170","27,856","59,549","31,667","238,684"
1984,July,"667,307","7,607","27,960,163","30,428","70,688","120,128","443,793"
1984,August,"586,631","7,259","24,579,839","29,036","68,400","98,681","396,161"
1984,September,"287,141","5,530","5,312,109","22,120","22,557","36,931","130,269"
1984,October,"76,118","3,622","1,408,183","14,488","1,990","3,885","15,897"
1984,November,"2,273",737,"420,505","2,948",16,86,410
1984,December,"16,559","1,493","306,342","5,972",16,10,"5,640"
1985,January,"20,919","2,437","387,002","9,748",6,38,"8,521"
1985,February,"30,590","2,105","565,915","8,420",29,51,"10,926"
1985,March,"9,611","1,114","177,804","4,456",310,80,"3,834"
1985,April,"21,994",875,"406,889","3,500",269,342,875
1985,May,"159,597","3,742","2,952,545","14,968","3,994","5,634","31,513"
1985,June,"401,168","4,683","16,808,939","18,732","39,287","63,673","257,356"
1985,July,"648,994","6,098","27,192,849","24,392","68,239","128,000","445,319"
